Artist,Date and Location,Location Name,Start Time,Tour Average Duration,Songs
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 9 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'You Were Meant For Me', 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 8 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 6 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 5 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'Happy Birthday to You', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'Stick Season', 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at TD Garden, Boston, MA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 2 2024,"TD Garden, Boston, MA, USA",8:30 PM,2h 0m,"['The Door', 'bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at TD Garden, Boston, MA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 1 2024,"TD Garden, Boston, MA, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Scotiabank Arena, Toronto, ON, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 30 2024,"Scotiabank Arena, Toronto, ON, Canada",8:20 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Scotiabank Arena, Toronto, ON, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 29 2024,"Scotiabank Arena, Toronto, ON, Canada",8:25 PM,2h 0m,"['The Door', 'bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'Happy Birthday to You', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Centre Bell, Montreal, QC, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 27 2024,"Centre Bell, Montreal, QC, Canada",Start time not found,Tour duration not found,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Centre Bell, Montreal, QC, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 26 2024,"Centre Bell, Montreal, QC, Canada",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 9 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'You Were Meant For Me', 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 8 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 6 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 5 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'Happy Birthday to You', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'Stick Season', 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at TD Garden, Boston, MA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 2 2024,"TD Garden, Boston, MA, USA",8:30 PM,2h 0m,"['The Door', 'bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at TD Garden, Boston, MA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 1 2024,"TD Garden, Boston, MA, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Scotiabank Arena, Toronto, ON, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 30 2024,"Scotiabank Arena, Toronto, ON, Canada",8:20 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Scotiabank Arena, Toronto, ON, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 29 2024,"Scotiabank Arena, Toronto, ON, Canada",8:25 PM,2h 0m,"['The Door', 'bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'Happy Birthday to You', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Centre Bell, Montreal, QC, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 27 2024,"Centre Bell, Montreal, QC, Canada",Start time not found,Tour duration not found,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Centre Bell, Montreal, QC, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 26 2024,"Centre Bell, Montreal, QC, Canada",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 9 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'You Were Meant For Me', 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 8 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 6 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Madison Square Garden, New York, NY, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 5 2024,"Madison Square Garden, New York, NY, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'Happy Birthday to You', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'Stick Season', 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at TD Garden, Boston, MA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 2 2024,"TD Garden, Boston, MA, USA",8:30 PM,2h 0m,"['The Door', 'bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at TD Garden, Boston, MA, USA



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Apr 1 2024,"TD Garden, Boston, MA, USA",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Scotiabank Arena, Toronto, ON, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 30 2024,"Scotiabank Arena, Toronto, ON, Canada",8:20 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Scotiabank Arena, Toronto, ON, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 29 2024,"Scotiabank Arena, Toronto, ON, Canada",8:25 PM,2h 0m,"['The Door', 'bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'Happy Birthday to You', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Centre Bell, Montreal, QC, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 27 2024,"Centre Bell, Montreal, QC, Canada",Start time not found,Tour duration not found,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
"Olivia Rodrigo 
at Centre Bell, Montreal, QC, Canada



 Edit setlist

Show all edit options




Edit setlist songs




Edit venue & date




Edit set times




Edit tour




Add to festival



Report setlist",Mar 26 2024,"Centre Bell, Montreal, QC, Canada",8:30 PM,2h 0m,"['bad idea right?', 'ballad of a homeschooled girl', 'vampire', 'traitor', 'drivers license', 'teenage dream', ""pretty isn't pretty"", 'love is embarrassing', 'making the bed', 'logical', 'enough for you', 'lacy', 'jealousy, jealousy', ""Can't Catch Me Now"", 'happier', 'favorite crime', 'deja vu', 'the grudge', 'brutal', 'obsessed', 'all-american bitch', 'good 4 u', 'get him back!']"
