id,name,artists,duration_ms,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit
4FQx5prSBUJSi6mt9XRwbv,Survive the Night,['MandoPony'],348661,7/13/15,2015,0.0182,0.684,0.577,0.0,0.0849,-10.193,0.0272,110.993,0.246,0,3,59,0
5zRPYlxK5EtXMKbflBKovY,Survivor,['YoungBoy Never Broke Again'],179775,12/20/18,2018,0.191,0.638,0.468,0.0,0.181,-11.077,0.409,149.976,0.381,0,5,57,1
6m2qba8pt0oa13nBLA2Nt2,Survivor / I Will Survive (Glee Cast Version),['Glee Cast'],208573,8/28/12,2012,0.00773,0.563,0.913,0.0,0.127,-4.384,0.225,128.083,0.311,0,9,55,0
6z38xRV0gxWMyjtuz5T2Ea,Survivor Guilt,['Rise Against'],239893,1/1/11,2011,0.000556,0.273,0.966,0.000168,0.0524,-4.092,0.0934,142.496,0.383,0,1,50,0
4nRKMlLUK5sLa8lmuEA9iv,Suspicions,['Larry Lovestein & The Velvet Revival'],220499,11/21/12,2012,0.776,0.757,0.384,0.0,0.112,-10.976,0.0441,109.98,0.385,0,9,50,0
2NtqI3Ylig7bB36esIwYuE,Sutphin Boulevard,['Blood Orange'],214040,8/30/11,2011,0.000523,0.841,0.383,0.247,0.118,-10.437,0.0675,99.77,0.858,0,11,44,0
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign),"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']",216409,2/23/17,2017,0.075,0.696,0.817,0.0,0.187,-3.862,0.109,98.064,0.782,1,1,77,1
5eilSVtn5pkequUpyV6w9d,Swallowed,['Bush'],291053,2014,2014,0.00182,0.241,0.49,0.000228,0.284,-8.262,0.0353,179.885,0.131,1,8,48,0
3modItPxv7WPVIuSMLW496,Swan Lake,['Blackalicious'],339387,7/31/12,2012,0.121,0.894,0.53,0.012,0.353,-9.995,0.22,95.864,0.627,0,9,51,1
6mapJIPnQ23RTAevUoE0DL,Swang,['Rae Sremmurd'],208120,8/12/16,2016,0.2,0.681,0.314,9.82e-06,0.1,-9.319,0.0581,139.992,0.166,1,8,74,1
702RdmOBmeHXG2jAmNeGN8,Swang,['Trae Tha Truth'],345987,8/15/13,2013,0.0297,0.587,0.699,3.22e-05,0.325,-6.033,0.177,77.063,0.421,1,1,47,1
1LQsAMbRfl2644biYjwHhz,Sway,['Józef Gatysik'],162448,12/17/16,2016,0.993,0.353,0.017,0.892,0.108,-27.471,0.0516,101.389,0.24,1,5,64,0
6EUDUDQP5ynE3g5SWCA8sc,Sway,['Danielle Bradbery'],212280,12/1/17,2017,0.39,0.7,0.706,0.0,0.366,-5.479,0.0265,97.028,0.648,1,3,63,0
08qjPXZBdEyif5PxU2AY9S,Sway - Chainsmokers Remix,['Anna of the North'],180571,10/7/14,2014,0.0555,0.673,0.795,0.0111,0.117,-6.21,0.0309,105.025,0.437,1,2,53,0
1SssFw74DdHVjRa6ADggdD,Sweat (A La La La La Long),['Inner Circle'],227067,12/14/10,2010,0.0124,0.787,0.728,0.0,0.157,-7.705,0.218,173.026,0.94,1,0,72,0
0R7YVi7w41Dr9jU5vblAok,Sweat - Remix,"['Snoop Dogg', 'David Guetta', 'Giorgio Tuinfort', 'Frederic Riesterer']",195987,1/1/11,2011,0.0597,0.813,0.732,0.00137,0.0826,-5.636,0.03,130.02,0.731,1,7,64,0
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,['The Neighbourhood'],240400,4/19/13,2013,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,0.398,1,10,81,0
0kn9QwZW8Ow9eTuZgxVEz8,Sweater Weather,"['Kurt Hugo Schneider', 'Alyson Stoner', 'MAX']",228387,6/16/17,2017,0.876,0.606,0.328,0.0,0.138,-7.824,0.0305,124.041,0.393,1,10,64,0
4pGqFOfzvfe6avb9kbZicC,Sweater Weather,['The Neighbourhood'],240040,8/7/12,2012,0.15,0.695,0.615,0.000212,0.0879,-5.325,0.042,124.015,0.414,0,7,62,0
7sDzAu7alAL1hWvL86tSGB,Sweater Weather - Spotify Sessions Curated by Jim Eno,['The Neighbourhood'],191560,6/18/13,2013,0.981,0.61,0.165,0.000544,0.134,-14.659,0.0502,102.68,0.258,1,8,54,0
1spD4q9pTYPdzzUZn2eZpR,Sweatpants,['Lauv'],196040,6/3/20,2020,0.0476,0.72,0.496,0.0,0.154,-8.437,0.0835,159.97,0.746,1,10,27,1
4NsPgRYUdHu2Q5JRNgXYU5,Sweden,['C418'],215500,3/4/11,2011,0.992,0.429,0.01,0.945,0.103,-25.164,0.0537,74.677,0.207,1,2,65,0
4ZbGXds397GVZFRdv9nDxf,Swedish Pagans,['Sabaton'],253227,9/24/10,2010,0.0883,0.256,0.979,0.0434,0.545,-4.079,0.122,135.035,0.171,1,7,54,0
5SM5amC17V4itA5jxIICjS,Sweepstakes (feat. Mos Def and Hypnotic Brass Ensemble),"['Gorillaz', 'Hypnotic Brass Ensemble', 'Mos Def']",320467,3/3/10,2010,0.114,0.724,0.803,0.0,0.214,-4.017,0.178,138.17,0.565,0,5,49,0
5fCxl609046LL8q6Ib5xaY,Sweet,['Dave Matthews Band'],252413,9/11/12,2012,0.972,0.43,0.26,0.00477,0.39,-12.732,0.0319,102.27,0.53,1,3,43,0
3VSYkAf6f46i5ZkXOHORq1,Sweet,['Cigarettes After Sex'],291640,6/9/17,2017,0.362,0.448,0.511,0.823,0.129,-9.084,0.0274,96.321,0.112,1,6,55,0
6Te1vrlCz4DdCeONagkT6j,Sweet Annie,['Zac Brown Band'],278693,7/6/12,2012,0.171,0.635,0.434,1.1e-06,0.106,-7.986,0.0298,139.976,0.171,1,6,59,0
1Qq7Tq8zZHuelGv9LQE2Yy,Sweet Child O' Mine - Acoustic,"['Slash', 'Myles Kennedy And The Conspirators']",396968,8/25/14,2014,0.406,0.566,0.538,0.000497,0.979,-5.729,0.0346,121.154,0.315,1,6,48,0
5kRPPEWFJIMox5qIkQkiz5,Sweet Creature,['Harry Styles'],224867,5/12/17,2017,0.746,0.427,0.262,0.0,0.068,-8.541,0.0276,104.085,0.228,1,7,77,0
